u,v,highway,lanes,maxspeed,length,geometry
42427319,42427322,secondary,1,25,30.486547837029885,"LINESTRING (-73.9994121 40.718687, -73.9993702 40.7187423, -73.999264 40.7188753, -73.9992256 40.7189219)"
42427322,42427324,secondary,1,25,115.03592680816337,"LINESTRING (-73.9992256 40.7189219, -73.9987423 40.7195174, -73.9986022 40.7196895, -73.9985719 40.7197243, -73.9985445 40.719756, -73.9985059 40.7198009)"
42427322,42439580,residential,1,25,62.53302100335806,"LINESTRING (-73.9992256 40.7189219, -73.9992847 40.7189496, -73.9993187 40.7189655, -73.9996782 40.7191341, -73.9997388 40.7191602, -73.9998608 40.7192124)"
42427324,42439207,secondary,1,25,41.91051185778727,"LINESTRING (-73.9985059 40.7198009, -73.9984267 40.719763, -73.9982186 40.7196641, -73.998154 40.7196333, -73.9980848 40.7196004)"
42427324,42427327,secondary,1,25,135.74038365484031,"LINESTRING (-73.9985059 40.7198009, -73.9984685 40.7198464, -73.998296 40.7200454, -73.9978879 40.7205076, -73.9977031 40.7207214, -73.9976869 40.7207445, -73.9976735 40.7207673, -73.9976577 40.720796, -73.9976413 40.7208288)"
42427327,42430041,secondary,2,25,73.09995225763886,"LINESTRING (-73.9976413 40.7208288, -73.9976044 40.7209077, -73.9975963 40.7209287, -73.9974771 40.7212357, -73.9974367 40.7213375, -73.9974226 40.72138, -73.9973963 40.7214592)"
42427327,42432165,secondary,2,25,56.61980608674209,"LINESTRING (-73.9976413 40.7208288, -73.9977041 40.7208606, -73.997732 40.7208748, -73.9977552 40.7208865, -73.998043 40.7210053, -73.9980978 40.7210286, -73.9981356 40.7210446, -73.9982238 40.7210819)"
42427335,11038072465,secondary,3,25,7.222082450280969,
42427335,42427337,residential,2,25,111.46433755092909,"LINESTRING (-73.9842337 40.7152425, -73.9841854 40.7153172, -73.9839124 40.7157268, -73.9836841 40.7160694, -73.9836386 40.7161377)"
42427335,42440408,primary,1,25,222.81419816329284,"LINESTRING (-73.9842337 40.7152425, -73.9843884 40.7152896, -73.9845146 40.715327, -73.9846007 40.7153482, -73.9847964 40.7153962, -73.9850309 40.7154669, -73.9851075 40.7154899, -73.9853831 40.7155743, -73.9856355 40.715651, -73.9858426 40.7157118, -73.9859641 40.7157444, -73.9866325 40.7159556, -73.9866936 40.7159749)"
42427337,42427340,residential,2,25,66.8093073406169,"LINESTRING (-73.9836386 40.7161377, -73.9836184 40.7161723, -73.9835484 40.7162923, -73.9833897 40.716524, -73.9833646 40.71658, -73.9833893 40.71669)"
42427340,42427345,residential,1,25,57.235026540517204,"LINESTRING (-73.9833893 40.71669, -73.9831778 40.717097, -73.9831695 40.7171256, -73.9831408 40.7171684)"
42427340,42435538,residential,1,25,74.93993296985259,"LINESTRING (-73.9833893 40.71669, -73.98264 40.7164597, -73.9825651 40.7164371)"
42427345,42429806,residential,1,25,77.90554920507121,"LINESTRING (-73.9831408 40.7171684, -73.9832179 40.7171864, -73.9839206 40.7174089, -73.9839974 40.717431)"
42427345,7500756892,residential,1,25,31.857654500601868,"LINESTRING (-73.9831408 40.7171684, -73.9831028 40.7172193, -73.9829775 40.7174266)"
42427346,42437067,residential,1,25,79.39150390828827,"LINESTRING (-73.9825206 40.7183141, -73.9826185 40.7183434, -73.9833325 40.7185573, -73.9833967 40.7185765)"
42427411,9802614802,residential,2,25,8.914133759376123,
