u,v,highway,lanes,maxspeed,length,geometry
1035417978,4193428746,tertiary,2,30,60.76012199004659,"LINESTRING (74.6397535 26.4709259, 74.639527 26.4710815, 74.6393137 26.4713009)"
1035418001,4202025002,residential,1,30,32.29053171913259,
1035418001,9660471089,residential,1,30,47.17021147073844,
1035418001,4202025006,residential,1,30,27.297160313083907,"LINESTRING (74.6012167 26.4794262, 74.6010619 26.4795159, 74.600981 26.4795509)"
1035418004,4206596179,residential,1,30,32.991362426756574,
1035418004,4206846639,residential,1,30,10.815997873550101,
1035418004,1035419380,residential,1,30,152.13660475494092,"LINESTRING (74.639934 26.4748347, 74.6397573 26.4749836, 74.6385812 26.4745184)"
1035418009,4202025023,residential,1,30,67.67752083297144,
1035418009,1035419653,residential,1,30,32.47231759979204,
1035418009,4202025010,residential,1,30,64.99083499674478,"LINESTRING (74.6002122 26.4800602, 74.600549 26.4797663, 74.6006803 26.4796527)"
1035418009,4202025010,residential,1,30,89.68323499877363,"LINESTRING (74.6002122 26.4800602, 74.6007746 26.479885, 74.6007952 26.4798626, 74.6008024 26.4798376, 74.6007999 26.4798058, 74.6006803 26.4796527)"
1035418009,1035418265,residential,1,30,30.41194631646907,"LINESTRING (74.6002122 26.4800602, 74.6002428 26.4801279, 74.6003269 26.4803137)"
1035418013,1035420027,residential,1,30,48.89400396133261,
1035418013,4201938467,residential,1,30,61.1045646262426,
1035418013,1035419910,residential,1,30,57.32573420579985,
1035418018,1035418822,residential,1,30,33.9994009545772,"LINESTRING (74.6041874 26.4770875, 74.6041924 26.4769847, 74.6042077 26.4768985, 74.6042463 26.4767882)"
1035418018,4201938596,residential,1,30,83.27692102823795,"LINESTRING (74.6041874 26.4770875, 74.6042203 26.4771618, 74.6042577 26.4772087, 74.6048684 26.4774825)"
1035418018,4202024837,residential,1,30,56.956694688939834,"LINESTRING (74.6041874 26.4770875, 74.6040257 26.4772747, 74.6037915 26.4774536)"
1035418035,4204458328,residential,1,30,37.59769956069013,
1035418035,4202168280,trunk,2,30,31.339620004429072,
1035418035,8597605360,residential,1,30,8.220766297625193,
1035418045,8602033107,tertiary,1,30,44.269333360182635,
1035418045,4202168222,residential,1,30,162.71547331697252,
1035418048,1035418808,residential,1,30,57.92785653156304,
1035418048,8602251020,residential,1,30,42.34416170023693,
1035418048,1035419939,residential,1,30,62.000301475605745,"LINESTRING (74.6060944 26.4637996, 74.606026 26.46382, 74.6055192 26.464013)"
1035418050,4201938403,residential,1,30,53.12812262170845,
1035418050,1035419433,unclassified,1,30,14.463635326454662,
1035418050,1035419431,unclassified,1,30,45.93467468841052,
1035418061,1035583249,residential,1,30,69.47722509511534,
1035418061,1038647477,tertiary,2,30,10.128569720076694,
1035418071,8606791314,tertiary,1,30,36.486306443185946,
1035418071,4191558192,residential,1,30,48.65446815227407,
1035418071,8606792137,tertiary,1,30,57.47025192384961,
1035418071,8606791247,residential,1,30,61.82965105432535,
1035418087,4201938368,residential,1,30,90.41985124547341,"LINESTRING (74.603918 26.4721638, 74.6042091 26.4720241, 74.60464 26.4716791)"
1035418087,1035418864,residential,1,30,103.28628652277034,"LINESTRING (74.603918 26.4721638, 74.6038601 26.4721633, 74.6037881 26.4721861, 74.6029786 26.4725451)"
1035418087,1035419689,residential,1,30,47.520036393386235,"LINESTRING (74.603918 26.4721638, 74.6040198 26.4721957, 74.6041592 26.4722468, 74.6042347 26.4722558, 74.6043771 26.4722648)"
1035418090,1038647853,residential,1,30,75.62340790069628,
1035418090,4206893259,residential,1,30,127.08263893307948,
1035418090,5306173406,residential,1,30,57.06504919246587,
1035418090,1035582378,residential,1,30,112.53071620760265,"LINESTRING (74.6386663 26.4775511, 74.6382319 26.4777638, 74.637613 26.4778928)"
1035418105,1035419746,residential,1,30,54.88673970666972,
1035418105,1035418533,unclassified,1,30,46.942535078692195,
1035418105,8594348171,residential,1,30,55.88539015825577,
